iter	Passed	Remaining
449	1066	1304
450	1069	1301
451	1070	1298
452	1072	1295
453	1075	1293
454	1077	1290
455	1079	1287
456	1080	1284
457	1082	1280
458	1084	1278
459	1086	1275
460	1087	1271
461	1088	1268
462	1090	1265
463	1092	1261
464	1093	1258
465	1094	1254
466	1096	1251
467	1098	1248
468	1099	1244
469	1100	1240
470	1101	1237
471	1103	1234
472	1104	1230
473	1106	1227
474	1107	1223
475	1108	1220
476	1110	1217
477	1111	1213
478	1112	1210
479	1113	1206
480	1115	1203
481	1116	1200
482	1118	1196
483	1119	1193
484	1121	1190
485	1122	1187
486	1125	1185
487	1126	1182
488	1128	1179
489	1130	1176
490	1131	1172
491	1132	1169
492	1134	1166
493	1135	1162
494	1136	1159
495	1138	1156
496	1140	1154
497	1142	1151
498	1143	1148
499	1145	1145
500	1146	1142
501	1148	1139
502	1149	1135
503	1151	1133
504	1152	1130
505	1154	1126
506	1155	1123
507	1157	1121
508	1159	1118
509	1161	1115
510	1162	1112
511	1165	1110
512	1166	1107
513	1168	1104
514	1169	1101
515	1171	1098
516	1172	1095
517	1173	1092
518	1175	1089
519	1177	1087
520	1179	1084
521	1180	1080
522	1182	1078
523	1183	1075
524	1184	1071
525	1186	1068
526	1187	1066
527	1190	1063
528	1191	1060
529	1192	1057
530	1195	1055
531	1196	1052
532	1198	1049
533	1200	1047
534	1201	1044
535	1203	1041
536	1204	1038
537	1206	1035
538	1208	1033
539	1210	1030
540	1211	1027
541	1213	1025
542	1214	1022
543	1215	1019
544	1216	1015
545	1218	1013
546	1220	1010
547	1221	1007
548	1223	1005
549	1225	1002
550	1226	999
551	1228	996
552	1230	994
553	1232	991
554	1233	989
555	1235	986
556	1237	984
557	1238	981
558	1240	978
559	1241	975
560	1243	973
561	1245	970
562	1246	967
563	1248	964
564	1249	962
565	1251	959
566	1252	956
567	1254	953
568	1255	951
569	1256	948
570	1257	945
571	1259	942
572	1262	941
573	1264	938
574	1265	935
575	1267	933
576	1269	930
577	1270	927
578	1272	925
579	1274	922
580	1275	919
581	1277	917
582	1285	919
583	1288	917
584	1289	915
585	1291	912
586	1293	910
587	1297	908
588	1299	907
589	1302	904
590	1303	902
591	1306	900
592	1308	898
593	1310	895
594	1312	893
595	1314	891
596	1316	888
597	1319	887
598	1321	884
599	1322	881
600	1324	879
601	1326	876
602	1327	874
603	1329	871
604	1332	870
605	1334	867
606	1335	864
607	1337	862
608	1339	859
609	1340	857
610	1342	854
611	1343	851
612	1345	849
613	1346	846
614	1349	844
615	1351	842
616	1352	839
617	1354	836
618	1356	834
619	1357	832
620	1358	829
621	1359	826
622	1361	824
623	1362	821
624	1364	818
625	1365	815
626	1366	813
627	1368	810
628	1369	807
629	1370	804
630	1371	802
631	1373	799
632	1375	797
633	1376	794
634	1377	791
635	1378	789
636	1380	786
637	1381	783
638	1382	781
639	1383	778
640	1385	776
641	1386	773
642	1387	770
643	1389	767
644	1390	765
645	1392	762
646	1393	760
647	1394	757
648	1395	754
649	1397	752
650	1399	750
651	1400	747
652	1402	745
653	1405	743
654	1406	740
655	1407	738
656	1409	736
657	1411	733
658	1412	731
659	1414	728
660	1415	726
661	1417	723
662	1418	721
663	1419	718
664	1421	716
665	1423	713
666	1424	711
667	1426	708
668	1427	706
669	1429	703
670	1430	701
671	1431	698
672	1433	696
673	1434	694
674	1436	691
675	1437	688
676	1438	686
677	1440	684
678	1442	681
679	1443	679
680	1444	676
681	1446	674
682	1448	672
683	1449	669
684	1450	667
685	1451	664
686	1453	662
687	1455	659
688	1456	657
689	1458	655
690	1459	652
691	1461	650
692	1462	647
693	1464	645
694	1465	643
695	1467	640
696	1468	638
697	1470	636
698	1472	634
699	1473	631
700	1475	629
701	1478	627
702	1480	625
703	1482	623
704	1483	620
705	1485	618
706	1487	616
707	1488	614
708	1490	611
709	1491	609
710	1493	607
711	1495	604
712	1497	602
713	1498	600
714	1499	597
715	1501	595
716	1503	593
717	1504	590
718	1505	588
719	1507	586
720	1509	584
721	1510	581
722	1511	579
723	1513	577
724	1514	574
725	1516	572
726	1517	569
727	1519	567
728	1520	565
729	1521	562
730	1522	560
731	1524	558
732	1526	556
733	1527	553
734	1528	551
735	1530	548
736	1532	546
737	1533	544
738	1534	541
739	1535	539
740	1537	537
